formula,label,sg,temperature,seebeck,cond_elec,cond_therm,n_rot,n_inv,n_rotoinv,n_mirror,n_rot_screw,1/2tran_screw,1/3tran_screw,3/4tran_screw,1/4tran_screw,1/6tran_screw,n_glide,1/2tran_glide,3/4tran_glide,1/4tran_glide,n_tr,MagpieData minimum Number,MagpieData maximum Number,MagpieData mean Number,MagpieData mode Number,MagpieData mean MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mode AtomicWeight,MagpieData mean MeltingT,MagpieData mode MeltingT,MagpieData mean Column,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,transition metal fraction,band center,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons
SnTe0.1AgSbSe2,SnTe0.1AgSbSe2_400,Fm-3m,400,71.0,170400.0,2.44,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.37254902,34,81.76470588,89,101.7682745,78.96,726.2854902,494.0,14.43137255,120,145,132.7058824,1.93,2.55,0.62,2.205882353,1.803921569,0.3152633602,2,2.62745098,1.276432141,4,10.0,0.0,0.0,0.0,0,14.43137255,1.514801999,16,0.1960784314,0.3152633602,0,2.196078431,1.022683583,2,0.0,0.0,0,0.0,0.0,0,2.392156863,0.8688965782,2,26.76300654,4.752556709,25.92,0.0,0.799,0.799,0.3224313725,0.3793310265,0.799,0.0,0.0,0.0,0.1960784314,5.020094973,1.803921569,2.62745098,10.0,0.0,0.125,0.1820652174,0.6929347826,0.0
SnTe0.1AgSbSe2,SnTe0.1AgSbSe2_500,Fm-3m,500,90.0,138255.0,2.29,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.37254902,34,81.76470588,89,101.7682745,78.96,726.2854902,494.0,14.43137255,120,145,132.7058824,1.93,2.55,0.62,2.205882353,1.803921569,0.3152633602,2,2.62745098,1.276432141,4,10.0,0.0,0.0,0.0,0,14.43137255,1.514801999,16,0.1960784314,0.3152633602,0,2.196078431,1.022683583,2,0.0,0.0,0,0.0,0.0,0,2.392156863,0.8688965782,2,26.76300654,4.752556709,25.92,0.0,0.799,0.799,0.3224313725,0.3793310265,0.799,0.0,0.0,0.0,0.1960784314,5.020094973,1.803921569,2.62745098,10.0,0.0,0.125,0.1820652174,0.6929347826,0.0
SnTe0.1AgSbSe2,SnTe0.1AgSbSe2_600,Fm-3m,600,113.0,109350.0,2.06,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.37254902,34,81.76470588,89,101.7682745,78.96,726.2854902,494.0,14.43137255,120,145,132.7058824,1.93,2.55,0.62,2.205882353,1.803921569,0.3152633602,2,2.62745098,1.276432141,4,10.0,0.0,0.0,0.0,0,14.43137255,1.514801999,16,0.1960784314,0.3152633602,0,2.196078431,1.022683583,2,0.0,0.0,0,0.0,0.0,0,2.392156863,0.8688965782,2,26.76300654,4.752556709,25.92,0.0,0.799,0.799,0.3224313725,0.3793310265,0.799,0.0,0.0,0.0,0.1960784314,5.020094973,1.803921569,2.62745098,10.0,0.0,0.125,0.1820652174,0.6929347826,0.0
SnTe0.1AgSbSe2,SnTe0.1AgSbSe2_650,Fm-3m,650,125.0,96644.0,1.97,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.37254902,34,81.76470588,89,101.7682745,78.96,726.2854902,494.0,14.43137255,120,145,132.7058824,1.93,2.55,0.62,2.205882353,1.803921569,0.3152633602,2,2.62745098,1.276432141,4,10.0,0.0,0.0,0.0,0,14.43137255,1.514801999,16,0.1960784314,0.3152633602,0,2.196078431,1.022683583,2,0.0,0.0,0,0.0,0.0,0,2.392156863,0.8688965782,2,26.76300654,4.752556709,25.92,0.0,0.799,0.799,0.3224313725,0.3793310265,0.799,0.0,0.0,0.0,0.1960784314,5.020094973,1.803921569,2.62745098,10.0,0.0,0.125,0.1820652174,0.6929347826,0.0
SnTe0.1AgSbSe2,SnTe0.1AgSbSe2_700,Fm-3m,700,134.0,89000.0,1.9,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.37254902,34,81.76470588,89,101.7682745,78.96,726.2854902,494.0,14.43137255,120,145,132.7058824,1.93,2.55,0.62,2.205882353,1.803921569,0.3152633602,2,2.62745098,1.276432141,4,10.0,0.0,0.0,0.0,0,14.43137255,1.514801999,16,0.1960784314,0.3152633602,0,2.196078431,1.022683583,2,0.0,0.0,0,0.0,0.0,0,2.392156863,0.8688965782,2,26.76300654,4.752556709,25.92,0.0,0.799,0.799,0.3224313725,0.3793310265,0.799,0.0,0.0,0.0,0.1960784314,5.020094973,1.803921569,2.62745098,10.0,0.0,0.125,0.1820652174,0.6929347826,0.0
SnTe0.1AgSbSe2,SnTe0.1AgSbSe2_750,Fm-3m,750,140.0,84900.0,1.88,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.37254902,34,81.76470588,89,101.7682745,78.96,726.2854902,494.0,14.43137255,120,145,132.7058824,1.93,2.55,0.62,2.205882353,1.803921569,0.3152633602,2,2.62745098,1.276432141,4,10.0,0.0,0.0,0.0,0,14.43137255,1.514801999,16,0.1960784314,0.3152633602,0,2.196078431,1.022683583,2,0.0,0.0,0,0.0,0.0,0,2.392156863,0.8688965782,2,26.76300654,4.752556709,25.92,0.0,0.799,0.799,0.3224313725,0.3793310265,0.799,0.0,0.0,0.0,0.1960784314,5.020094973,1.803921569,2.62745098,10.0,0.0,0.125,0.1820652174,0.6929347826,0.0
SnTe0.1AgSbSe2,SnTe0.1AgSbSe2_800,Fm-3m,800,143.0,83893.0,1.91,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.37254902,34,81.76470588,89,101.7682745,78.96,726.2854902,494.0,14.43137255,120,145,132.7058824,1.93,2.55,0.62,2.205882353,1.803921569,0.3152633602,2,2.62745098,1.276432141,4,10.0,0.0,0.0,0.0,0,14.43137255,1.514801999,16,0.1960784314,0.3152633602,0,2.196078431,1.022683583,2,0.0,0.0,0,0.0,0.0,0,2.392156863,0.8688965782,2,26.76300654,4.752556709,25.92,0.0,0.799,0.799,0.3224313725,0.3793310265,0.799,0.0,0.0,0.0,0.1960784314,5.020094973,1.803921569,2.62745098,10.0,0.0,0.125,0.1820652174,0.6929347826,0.0
SnTe0.25AgSbSe2,SnTe0.25AgSbSe2_300,Fm-3m,300,66.0,133500.0,1.85,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.61904762,34,82.0,89,102.5063238,78.96,726.1819048,494.0,14.47619048,120,145,132.8571429,1.93,2.55,0.62,2.202857143,1.80952381,0.3083900227,2,2.666666667,1.26984127,4,10.0,0.0,0.0,0.0,0,14.47619048,1.505668934,16,0.1904761905,0.3083900227,0,2.19047619,0.9977324263,2,0.0,0.0,0,0.0,0.0,0,2.380952381,0.8526077098,2,26.9915873,4.878004535,25.92,0.0,0.799,0.799,0.3264761905,0.3731156463,0.799,0.0,0.0,0.0,0.1904761905,5.032965844,1.80952381,2.666666667,10.0,0.0,0.125,0.1842105263,0.6907894737,0.0
SnTe0.25AgSbSe2,SnTe0.25AgSbSe2_400,Fm-3m,400,86.0,113800.0,1.83,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.61904762,34,82.0,89,102.5063238,78.96,726.1819048,494.0,14.47619048,120,145,132.8571429,1.93,2.55,0.62,2.202857143,1.80952381,0.3083900227,2,2.666666667,1.26984127,4,10.0,0.0,0.0,0.0,0,14.47619048,1.505668934,16,0.1904761905,0.3083900227,0,2.19047619,0.9977324263,2,0.0,0.0,0,0.0,0.0,0,2.380952381,0.8526077098,2,26.9915873,4.878004535,25.92,0.0,0.799,0.799,0.3264761905,0.3731156463,0.799,0.0,0.0,0.0,0.1904761905,5.032965844,1.80952381,2.666666667,10.0,0.0,0.125,0.1842105263,0.6907894737,0.0
SnTe0.25AgSbSe2,SnTe0.25AgSbSe2_500,Fm-3m,500,109.0,94295.0,1.71,4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,34,52,43.61904762,34,82.0,89,102.5063238,78.96,726.1819048,494.0,14.47619048,120,145,132.8571429,1.93,2.55,0.62,2.202857143,1.80952381,0.3083900227,2,2.666666667,1.26984127,4,10.0,0.0,0.0,0.0,0,14.47619048,1.505668934,16,0.1904761905,0.3083900227,0,2.19047619,0.9977324263,2,0.0,0.0,0,0.0,0.0,0,2.380952381,0.8526077098,2,26.9915873,4.878004535,25.92,0.0,0.799,0.799,0.3264761905,0.3731156463,0.799,0.0,0.0,0.0,0.1904761905,5.032965844,1.80952381,2.666666667,10.0,0.0,0.125,0.1842105263,0.6907894737,0.0
