n_rot,n_inv,n_rotoinv,n_mirror,n_rot_screw,1/2tran_screw,1/3tran_screw,3/4tran_screw,1/4tran_screw,1/6tran_screw,n_glide,1/2tran_glide,3/4tran_glide,1/4tran_glide,n_tr,index
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3092
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,509
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3102
3,1.0,6,4,2,1,0,0,0,0,3,1,0,0,0,959
2,0.0,4,2,2,1,0,0,0,0,2,1,0,0,1,50
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2082
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1178
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,918
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,2524
0,0.0,0,1,2,1,0,0,0,0,1,1,0,0,0,657
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3052
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2936
2,0.0,4,2,2,1,0,0,0,0,2,1,0,0,1,54
2,0.0,4,2,2,1,0,0,0,0,2,1,0,0,1,2175
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2948
2,0.0,4,0,2,1,0,0,0,0,4,0,1,1,1,2047
3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1894
0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1538
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,82
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2075
3,0.0,4,6,3,1,0,0,0,1,6,1,0,0,1,1034
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,404
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2088
3,0.0,0,3,6,1,0,0,0,0,3,1,0,0,0,312
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,712
2,1.0,4,0,4,1,0,1,1,0,10,1,1,1,1,787
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2239
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2314
3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1887
3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880
3,0.0,4,0,0,0,0,0,0,0,6,1,0,0,0,1575
3,1.0,6,4,2,1,0,0,0,0,3,1,0,0,0,2250
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2960
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,414
3,1.0,6,4,2,1,0,0,0,0,3,1,0,0,0,2262
3,0.0,0,3,6,1,0,0,0,0,3,1,0,0,0,292
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,2536
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,2912
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3082
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1983
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,716
3,0.0,4,6,0,0,0,0,0,0,0,0,0,0,0,1013
2,0.0,4,0,2,1,0,0,0,0,4,1,0,0,1,2633
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2124
3,0.0,4,9,3,1,1,0,0,0,15,1,0,1,3,1248
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2095
